index,value
0,0.0
1,-0.17471729232577715
2,1.5152142929142862
3,1.947079898809398
4,0.013620619403341694
5,0.0063742623209084625
6,-0.6180456180156212
7,-0.37670725206125166
8,-1.9283889484384529
9,-1.3973587292958336
10,-0.9523740011640038
11,0.7661081304420595
12,0.9678369273476526
13,1.3332080499431465
14,-0.35988984251255807
15,1.946822758588353
16,-0.26084621315820034
17,0.880082574638014
18,0.4181661145684622
19,-0.5252053205446041
20,-1.1027095333919446
21,-1.6093177840418087
22,-0.9877310241865458
23,-0.9496300658366155
24,0.6753856070727338
25,-1.255526257433527
26,-1.070278283484349
27,-1.8017923292832876
28,-0.7556516324327349
29,-2.760363929752893
30,-2.6900036903894398
31,-2.0763302094949214
32,-3.2491492620670344
33,-1.7765612898987913
34,-1.3313636672955762
35,-0.12480234649415589
36,0.8531028641544786
37,-0.2547171318433701
38,-1.0143053199564027
39,-1.0654920077348449
40,-0.15770848061148346
41,0.7169150824557817
42,-0.10030705062127043
43,-0.6924581782834112
44,-1.386412366707428
45,-1.762688740858661
46,-1.7362088072945878
47,-1.607592533890664
48,0.6916608146906467
49,0.08150803270061979
50,-0.2194425392336951
51,0.27205157074538705
52,-0.7218302304363464
53,-0.9821828449933043
54,-0.8215369370832957
55,0.07583955049646329
56,-1.2515512408247629
57,0.30765090258597483
58,-0.09095409870352528
59,0.09210543720562861
60,0.9253779255592949
61,1.447364158452427
62,2.28949142086006
63,2.119265524162929
64,1.7817623421639834
65,1.8309765301189862
66,0.5606146604145531
67,1.6907098303365689
68,0.6617171071450554
69,-0.6977843388092952
70,1.4632920929506272
71,1.107353339495182
72,-0.23787453375904322
73,1.650076366417742
74,1.0728522870299808
75,1.9740002317610452
76,0.8484114736494125
77,0.4723697313473695
78,-1.2870150818310937
79,-3.002902178391702
80,-3.52890143969568
81,-3.077605242272424
82,-1.8179787457455174
83,0.880938567337133
84,-0.2830652128580472
85,0.7684348688394904
86,0.048828680027667604
87,-0.11102492807933358
88,-1.5755628071646732
89,-2.818214122960395
90,-3.1739426073168437
91,-3.8909618385199374
92,-3.310871953418439
93,-3.516755624204194
94,-1.738545206825676
95,-1.3247437145203294
96,-0.9607939680850623
97,0.32076032582053093
98,0.7907585459841437
99,0.6348117820004529
100,0.4488666530329817
101,0.2605880178763651
102,1.2982217712501583
103,1.8865741222493368
104,1.9695059618181119
105,2.4729093946276692
106,1.5574396865781677
107,1.834846538259109
108,0.14728589454990404
109,1.4724635626233187
110,1.3416422870947227
111,1.3237889448019513
112,1.7246044488771175
113,1.4562042071845462
114,0.9836656911909016
115,2.025900459593676
116,1.837766061364519
117,0.6462294791991404
118,0.9888539730984709
119,-0.8645945650537973
120,0.9206370569399345
121,0.6114103861984672
122,0.5655826817151962
123,2.7385157380147573
124,4.4794794564281855
125,3.9233642179313075
126,3.9597259358205066
127,4.455946910752811
128,5.469575880611424
129,4.518046599090072
130,3.97559982315215
131,4.603894071960914
132,4.182860263743797
133,4.309931081470443
134,4.273300945202017
135,2.49739385513023
136,1.263843765041645
137,-1.5670716438776247
138,-1.5921316015127394
139,-0.014474432955075445
140,-1.1215100116908885
141,0.28052006348125325
142,1.2379882269327367
