date,close
2015-01-01,1812692.595339822
2015-01-02,1801897.687354703
2015-01-05,1793526.1849157913
2015-01-06,1742265.0319412907
2015-01-07,1780835.2534980192
2015-01-08,1805996.4480557726
2015-01-09,1799497.4189195654
2015-01-12,1816829.762035678
2015-01-13,1823518.0345326732
2015-01-14,1811982.8578804021
2015-01-15,1833914.1393097949
2015-01-16,1827640.659785462
2015-01-19,1820989.4209395514
2015-01-20,1804302.7520172033
2015-01-21,1814724.6115670574
2015-01-22,1813109.542316724
2015-01-23,1825560.0469291084
2015-01-26,1812850.714328752
2015-01-27,1816156.619638287
2015-01-28,1797353.3688434728
2015-01-29,1816138.9869267552
2015-01-30,1820787.7424077655
2015-02-02,1828573.3726600602
2015-02-03,1838154.5971253838
2015-02-04,1816538.999434513
2015-02-05,1834241.8107133445
2015-02-06,1880639.065940235
2015-02-09,1844577.6544895384
2015-02-10,1807233.8201749667
2015-02-11,1775424.2761114873
2015-02-12,1793980.5643480844
2015-02-13,1797292.7730623095
2015-02-16,1821247.356516703
2015-02-17,1837655.9100780548
2015-02-18,1842858.058690366
2015-02-19,1849704.9077056337
2015-02-20,1846494.526494266
2015-02-23,1866398.2677123488
2015-02-24,1841819.4637559145
2015-02-25,1833069.0087407583
2015-02-26,1838972.2988740657
2015-02-27,1879722.073490829
2015-03-02,1863116.0157069452
2015-03-03,1839698.3864292698
2015-03-04,1827853.2510374123
2015-03-05,1849792.4762482615
2015-03-06,1845136.7458069606
2015-03-09,1875256.6985507472
2015-03-10,1834139.0736410057
2015-03-11,1859704.2680964323
2015-03-12,1883507.7716498426
2015-03-13,1852269.9483283095
2015-03-16,1856243.5868677641
2015-03-17,1884088.1433910471
2015-03-18,1886642.8670071594
2015-03-19,1909985.0329437314
2015-03-20,1965789.7025417113
2015-03-23,1972854.0208560885
2015-03-24,1966817.2913254062
2015-03-25,1949287.696900344
2015-03-26,1965095.407192188
2015-03-27,1961049.9853710707
2015-03-30,1957435.2690751178
2015-03-31,1955550.9367858337
2015-04-01,1971452.1410969056
2015-04-02,1946970.0104521215
2015-04-03,1912126.178576707
2015-04-06,1857644.4958187833
2015-04-07,1885123.4997415843
2015-04-08,1887359.67720181
2015-04-09,1922449.7594505101
2015-04-10,1922819.9136112854
2015-04-13,1906343.3832170637
2015-04-14,1917883.241880744
2015-04-15,1916696.3226745485
2015-04-16,1888632.0780125372
2015-04-17,1869240.1283340645
2015-04-20,1909866.5139079234
2015-04-21,1918580.4406482545
2015-04-22,1928769.4273916092
2015-04-23,1922955.982933177
2015-04-24,1907678.27872677
2015-04-27,1928778.327529272
2015-04-28,1926936.2264347007
2015-04-29,1910035.8218976953
2015-04-30,1907536.1863702794
2015-05-01,1887484.8627429765
2015-05-04,1892361.9019400715
2015-05-05,1918754.8575915792
2015-05-06,1900170.163692418
2015-05-07,1933604.6786509156
2015-05-08,1918751.1480364525
2015-05-11,1922863.4911224036
2015-05-12,1904232.115475871
2015-05-13,1899730.466421456
